Entity,Code,Year,Value
Afghanistan,AFG,2000,7.93994910036
Afghanistan,AFG,2005,8.55104232466
Afghanistan,AFG,2010,7.27124898112
Afghanistan,AFG,2015,7.19228299167
Albania,ALB,2000,0
Albania,ALB,2005,0
Albania,ALB,2010,0
Albania,ALB,2015,0
Algeria,DZA,2000,0.0265302728925
Algeria,DZA,2005,0.0252430980577
Algeria,DZA,2010,0.0226293845359
Algeria,DZA,2015,0.0216291231219
American Samoa,ASM,2000,0.254118808419
American Samoa,ASM,2005,0.239086813662
American Samoa,ASM,2010,0.212127175939
American Samoa,ASM,2015,0.207376660023
Andorra,AND,2000,0
Andorra,AND,2005,0
Andorra,AND,2010,0
Andorra,AND,2015,0
Angola,AGO,2000,32.0451917462
Angola,AGO,2005,54.0792880263
Angola,AGO,2010,31.9177779158
Angola,AGO,2015,28.3801208333
Antigua and Barbuda,ATG,2000,0
Antigua and Barbuda,ATG,2005,0
Antigua and Barbuda,ATG,2010,0
Antigua and Barbuda,ATG,2015,0
Argentina,ARG,2000,0.0161024885039
Argentina,ARG,2005,0.0111537083202
Argentina,ARG,2010,0.00808258856245
Argentina,ARG,2015,0.00568589798168
Armenia,ARM,2000,0.018781139019
Armenia,ARM,2005,0.0148748930134
Armenia,ARM,2010,0.010942724671
Armenia,ARM,2015,0
Australia,AUS,2000,0
Australia,AUS,2005,0
Australia,AUS,2010,0
Australia,AUS,2015,0
Austria,AUT,2000,0
Austria,AUT,2005,0
Austria,AUT,2010,0
Austria,AUT,2015,0
Azerbaijan,AZE,2000,0.0230476012404
Azerbaijan,AZE,2005,0.0167859938567
Azerbaijan,AZE,2010,0.0110879585827
Azerbaijan,AZE,2015,0.00697560049415
Bahamas,BHS,2000,0
Bahamas,BHS,2005,0
Bahamas,BHS,2010,0
Bahamas,BHS,2015,0
Bahrain,BHR,2000,0
Bahrain,BHR,2005,0
Bahrain,BHR,2010,0
Bahrain,BHR,2015,0
Bangladesh,BGD,2000,2.75141807127
Bangladesh,BGD,2005,1.75081008901
Bangladesh,BGD,2010,1.3443825544
Bangladesh,BGD,2015,1.12976614961
Barbados,BRB,2000,0
Barbados,BRB,2005,0
Barbados,BRB,2010,0
Barbados,BRB,2015,0
Belarus,BLR,2000,0
Belarus,BLR,2005,0
Belarus,BLR,2010,0
Belarus,BLR,2015,0
Belgium,BEL,2000,0
Belgium,BEL,2005,0
Belgium,BEL,2010,0
Belgium,BEL,2015,0
Belize,BLZ,2000,0.224265841669
Belize,BLZ,2005,0.143190429921
Belize,BLZ,2010,0.101567485166
Belize,BLZ,2015,0.0865859025173
Benin,BEN,2000,70.2447499504
Benin,BEN,2005,107.067925393
Benin,BEN,2010,83.3210947806
Benin,BEN,2015,69.5025985285
Bermuda,BMU,2000,0.011144160002
Bermuda,BMU,2005,0.0107200649566
Bermuda,BMU,2010,0.0102899435737
Bermuda,BMU,2015,0.0096731393324
Bhutan,BTN,2000,4.78488626403
Bhutan,BTN,2005,3.79996599384
Bhutan,BTN,2010,3.21267142946
Bhutan,BTN,2015,2.45161815749
Bolivia,BOL,2000,0.189916243295
Bolivia,BOL,2005,0.122888864333
Bolivia,BOL,2010,0.0997354988116
Bolivia,BOL,2015,0.085561354559
Bosnia and Herzegovina,BIH,2000,0
Bosnia and Herzegovina,BIH,2005,0
Bosnia and Herzegovina,BIH,2010,0
Bosnia and Herzegovina,BIH,2015,0
Botswana,BWA,2000,1.71413766101
Botswana,BWA,2005,1.41792869166
Botswana,BWA,2010,1.15497733421
Botswana,BWA,2015,1.12599707102
Brazil,BRA,2000,0.088973037629
Brazil,BRA,2005,0.0583631519447
Brazil,BRA,2010,0.044187525421
Brazil,BRA,2015,0.037736036016
Brunei,BRN,2000,0
Brunei,BRN,2005,0
Brunei,BRN,2010,0
Brunei,BRN,2015,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2010,0
Bulgaria,BGR,2015,0
Burkina Faso,BFA,2000,180.98787267
Burkina Faso,BFA,2005,188.93741275
Burkina Faso,BFA,2010,179.864739452
Burkina Faso,BFA,2015,139.622109988
Burundi,BDI,2000,182.965699169
Burundi,BDI,2005,110.764123498
Burundi,BDI,2010,82.8238283588
Burundi,BDI,2015,50.8257712447
Cambodia,KHM,2000,21.4929775238
Cambodia,KHM,2005,17.6298124612
Cambodia,KHM,2010,16.0720952247
Cambodia,KHM,2015,14.2930084005
Cameroon,CMR,2000,127.147619923
Cameroon,CMR,2005,161.946986367
Cameroon,CMR,2010,106.411809625
Cameroon,CMR,2015,92.5124756585
Canada,CAN,2000,0
Canada,CAN,2005,0
Canada,CAN,2010,0
Canada,CAN,2015,0
Cape Verde,CPV,2000,0.0924417162394
Cape Verde,CPV,2005,0.0819748446131
Cape Verde,CPV,2010,0.0770766247916
Cape Verde,CPV,2015,0.0699356039093
Caribbean,,2000,0.120155357436
Caribbean,,2005,0.0820879427752
Caribbean,,2010,0.0708337459991
Caribbean,,2015,0.0591914362175
Central African Republic,CAF,2000,82.8070514534
Central African Republic,CAF,2005,98.7115429922
Central African Republic,CAF,2010,82.7872217906
Central African Republic,CAF,2015,57.3914400867
Chad,TCD,2000,49.646158124
Chad,TCD,2005,47.5775821223
Chad,TCD,2010,39.0712135638
Chad,TCD,2015,35.7889881765
Chile,CHL,2000,0
Chile,CHL,2005,0
Chile,CHL,2010,0
Chile,CHL,2015,0
China,CHN,2000,0.0203924892132
China,CHN,2005,0.0179363321634
China,CHN,2010,0.0142121392963
China,CHN,2015,0.0123589917452
Colombia,COL,2000,0.280486919106
Colombia,COL,2005,0.187318939728
Colombia,COL,2010,0.128764631231
Colombia,COL,2015,0.108482850457
Comoros,COM,2000,0.283350794668
Comoros,COM,2005,0.242905590609
Comoros,COM,2010,0.86255772975
Comoros,COM,2015,0.129543971015
Congo,COG,2000,83.4321256664
Congo,COG,2005,91.0779654746
Congo,COG,2010,54.327386532
